127.0.0.1 - - [29/Dec/2019:21:18:51 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:18:52 +0800] "GET /nm/UploadB HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:18:52 +0800] "GET /nm/loginservlet HTTP/1.1" 200 2964
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:18:52 +0800] "GET /nm/css/style.css HTTP/1.1" 200 9385
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:18:52 +0800] "GET /nm/images/avtar.png HTTP/1.1" 200 12253
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:18:53 +0800] "GET /nm/images/bg1.jpg HTTP/1.1" 200 85573
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:18:53 +0800] "GET /nm/images/close.png HTTP/1.1" 200 3324
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:18:53 +0800] "GET /nm/images/adm.png HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:18:53 +0800] "GET /nm/images/key.png HTTP/1.1" 200 3110
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:18:53 +0800] "GET /nm/images/pass.png HTTP/1.1" 200 3293
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:18:53 +0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:09 +0800] "POST /nm/loginservlet HTTP/1.1" 200 24762
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:09 +0800] "GET /nm/assets/css/style.css HTTP/1.1" 200 142460
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:09 +0800] "GET /nm/upload/acm.jpg HTTP/1.1" 200 555513
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:09 +0800] "GET /nm/upload/%E8%93%9D%E6%A1%A5%E6%9D%AF.jpg HTTP/1.1" 200 597013
